"Title","Artist","Album","URL","Duration","TrackNumber","PlaylistPosition","Explicit","ImageURL","ReleaseDate","Genre"
"LOVE THE WAY","Rooler","LOVE THE WAY","https://music.amazon.com.au/albums/B0CP2LDMVL?trackAsin=B0CP2KXF75","04:50","5","12","","https://m.media-amazon.com/images/I/91WHSaeoUlL._SX472_SY472_BL0_QL100_.jpg","",""
"Heat Waves (Hardstyle Version)","Atlaz","Heat Waves (Hardstyle Version)","https://music.amazon.com.au/albums/B0D8DF26ZJ?trackAsin=B0D8DK1MJV","01:36","6","13","","https://m.media-amazon.com/images/I/81QbvSgzBuL._SX472_SY472_BL0_QL100_.jpg","",""
"Someone You Loved","Luca Testa","Someone You Loved","https://music.amazon.com.au/albums/B0F71NC764?trackAsin=B0F722WLWZ","02:41","7","14","","https://m.media-amazon.com/images/I/71f5gAbdiWL._SX472_SY472_BL0_QL100_.jpg","",""
"Numb (Hardstyle)","Virtus","Numb (Hardstyle)","https://music.amazon.com.au/albums/B0BT16R9CZ?trackAsin=B0BT1GBPBG","02:08","8","15","","https://m.media-amazon.com/images/I/71PW7oyV58L._SX472_SY472_BL0_QL100_.jpg","",""
"Tick Tock (Hardstyle)","VENKO","Tick Tock (Hardstyle)","https://music.amazon.com.au/albums/B0C2WGBMPY?trackAsin=B0C2WPX5DX","02:35","9","16","","https://m.media-amazon.com/images/I/81WnZxPnelL._SX472_SY472_BL0_QL100_.jpg","",""
"Miracle (Hardstyle)","VENKO","Miracle (Hardstyle)","https://music.amazon.com.au/albums/B0C436HKKF?trackAsin=B0C438TZ7F","02:32","10","17","","https://m.media-amazon.com/images/I/818jwLWRBZL._SX472_SY472_BL0_QL100_.jpg","",""
"Counting Stars (Hardstyle)","VENKO","Counting Stars (Hardstyle)","https://music.amazon.com.au/albums/B0C2H6WCPX?trackAsin=B0C2H2VB6J","03:42","11","18","","https://m.media-amazon.com/images/I/91MddygUEML._SX472_SY472_BL0_QL100_.jpg","",""
"Down (Hardstyle)","Tooz","DOWN","https://music.amazon.com.au/albums/B0C2ZRWJGV?trackAsin=B0C2ZT3SFT","02:55","12","19","","https://m.media-amazon.com/images/I/51XD2o6BbOL._SX472_SY472_BL0_QL100_.jpg","",""
"Sweet Escape (Hardstyle)","Tooz","Sweet Escape","https://music.amazon.com.au/albums/B0C77NNCD7?trackAsin=B0C77MD622","03:24","13","20","","https://m.media-amazon.com/images/I/81RXFlph-uL._SX472_SY472_BL0_QL100_.jpg","",""
"Really Don't Care (Hardstyle)","Tooz","Really Don't Care (Hardstyle)","https://music.amazon.com.au/albums/B0CDBMR3YR?trackAsin=B0CDBQV28J","02:50","14","21","","https://m.media-amazon.com/images/I/81kiMnQdm8L._SX472_SY472_BL0_QL100_.jpg","",""
"How Deep Is Your Love (Hardstyle Cover)","Tooz","HOW DEEP IS YOUR LOVE","https://music.amazon.com.au/albums/B0CG953MJ7?trackAsin=B0CG94J4XM","02:34","15","22","","https://m.media-amazon.com/images/I/71sp8NSbS3L._SX472_SY472_BL0_QL100_.jpg","",""
"Zombie","Ran-D","A State Of Trance Year Mix 2018","https://music.amazon.com.au/albums/B07L8GHH22?trackAsin=B07L8GVQTQ","04:50","16","23","","https://m.media-amazon.com/images/I/81-QezGNqlL._SX472_SY472_BL0_QL100_.jpg","",""
"Better Off (Alone  Pt. III) [feat. D-Block & S-te-Fan]","Alan Walker","Better Off (Alone  Pt. III) [feat. D-Block & S-te-Fan]","https://music.amazon.com.au/albums/B0CLBM581Q?trackAsin=B0CLBN81XH","02:58","17","24","","https://m.media-amazon.com/images/I/91PBvs2VPnL._SX472_SY472_BL0_QL100_.jpg","",""
"Trash Talk","Gancher & Ruin","Trash Talk","https://music.amazon.com.au/albums/B0BQX6YKDW?trackAsin=B0BQX8SGRT","02:32","18","25","","https://m.media-amazon.com/images/I/91ygEMmDIhL._SX472_SY472_BL0_QL100_.jpg","",""
"Pump The Brakes","Dom Dolla","Pump The Brakes","https://music.amazon.com.au/albums/B08XWZC85M?trackAsin=B08XWX36LN","03:40","19","26","","https://m.media-amazon.com/images/I/91vXrRSCR7L._SX472_SY472_BL0_QL100_.jpg","",""
"First Light","Sleepnet","First Light","https://music.amazon.com.au/albums/B09GNJDXB4?trackAsin=B09GNLDDG1","04:12","20","27","","https://m.media-amazon.com/images/I/714g01HA0vL._SX472_SY472_BL0_QL100_.jpg","",""
"Power","Millbrook","Power","https://music.amazon.com.au/albums/B09GKWX8GV?trackAsin=B09GL1CZ6B","03:22","21","28","","https://m.media-amazon.com/images/I/A1icOKyxhHL._SX472_SY472_BL0_QL100_.jpg","",""
"STAY ALIVE","REAPER","DISRUPTOR LP","https://music.amazon.com.au/albums/B0BQV6R8JH?trackAsin=B0BQVTWNR8","03:58","22","29","","https://m.media-amazon.com/images/I/91ShacAVryL._SX472_SY472_BL0_QL100_.jpg","",""
"Love No More","Sleepnet","First Light","https://music.amazon.com.au/albums/B09GNJDXB4?trackAsin=B09GNLBFHK","02:54","23","30","","https://m.media-amazon.com/images/I/714g01HA0vL._SX472_SY472_BL0_QL100_.jpg","",""
"Oasis","Sajanka","Oasis","https://music.amazon.com.au/albums/B08X3MKDHT?trackAsin=B08X3S1TCF","06:45","24","31","","https://m.media-amazon.com/images/I/91YyM+63XIL._SX472_SY472_BL0_QL100_.jpg","",""
"Минимум (The Sumo Remix)","Ямаджи  Фейджи","Минимум (Remix Pack)","https://music.amazon.com.au/albums/B08NWQ4D1D?trackAsin=B08NWS1XRS","02:10","25","32","","https://m.media-amazon.com/images/I/61csMu2clML._SX472_SY472_BL0_QL100_.jpg","",""
"Chakra (Mixed)","W&W","A State Of Trance Classics - Mix 014: Vini Vici","https://music.amazon.com.au/albums/B08JV5K11C?trackAsin=B08JV1HW1Z","04:00","26","33","","https://m.media-amazon.com/images/I/91poyI0UllL._SX472_SY472_BL0_QL100_.jpg","",""
"Parallels","Day Din","Parallels","https://music.amazon.com.au/albums/B0CLBCM8BG?trackAsin=B0CLBQVDWN","06:44","27","34","","https://m.media-amazon.com/images/I/71B9r6eOAHL._SX472_SY472_BL0_QL100_.jpg","",""
"Winners Anthem","KSHMR","Winners Anthem","https://music.amazon.com.au/albums/B0999SFXT1?trackAsin=B099BGBV7H","03:30","28","35","","https://m.media-amazon.com/images/I/813PMrVswZS._SX472_SY472_BL0_QL100_.jpg","",""
"The Beyond","GMS","Dimension 005 (Compiled by Alpha Portal)","https://music.amazon.com.au/albums/B07TWPQ334?trackAsin=B07TYV441Z","07:57","29","36","","https://m.media-amazon.com/images/I/8151WWwo4PL._SX472_SY472_BL0_QL100_.jpg","",""
"Artcore (Hi Profile Remix)","Astrix","Artcore (Hi Profile Remix)","https://music.amazon.com.au/albums/B07PB7C3LT?trackAsin=B07PB67PJM","07:31","30","37","","https://m.media-amazon.com/images/I/81vRPGejfPL._SX472_SY472_BL0_QL100_.jpg","",""
"Hey Adi Yogi","AudioFreQ","Hey Adi Yogi","https://music.amazon.com.au/albums/B08P3Y1KC5?trackAsin=B08P3Z5X3F","03:47","31","38","","https://m.media-amazon.com/images/I/81844RKsEVL._SX472_SY472_BL0_QL100_.jpg","",""
"Half Of It","Abraxis","Half Of It","https://music.amazon.com.au/albums/B0F3MC1DNB?trackAsin=B0F3MQGX5D","04:48","32","39","","https://m.media-amazon.com/images/I/81oYh3GNt-L._SX472_SY472_BL0_QL100_.jpg","",""
"SHIVA (Sunburn 2017 Anthem) [feat. The Golden Army]","KSHMR","SHIVA (Sunburn 2017 Anthem) [feat. The Golden Army]","https://music.amazon.com.au/albums/B078HDY3P6?trackAsin=B078HNBRGG","03:02","33","40","","https://m.media-amazon.com/images/I/81r80BfHKAL._SX472_SY472_BL0_QL100_.jpg","",""
